iter	Passed	Remaining
0	40	48694
1	84	50836
2	128	51112
3	181	54147
4	225	53911
5	269	53625
6	330	56255
7	384	57358
8	430	57010
9	482	57427
10	527	57017
11	574	56852
12	621	56748
13	672	56938
14	722	57055
15	767	56777
16	809	56302
17	852	55971
18	896	55729
19	942	55579
20	990	55599
21	1033	55331
22	1080	55277
23	1122	54988
24	1166	54831
25	1210	54677
26	1256	54602
27	1306	54704
28	1349	54492
29	1395	54436
30	1440	54330
31	1483	54160
32	1527	54014
33	1575	54023
34	1617	53830
35	1662	53765
36	1710	53777
37	1759	53818
38	1806	53785
39	1853	53750
40	1896	53613
41	1939	53461
42	1984	53384
43	2031	53377
44	2076	53290
45	2124	53294
46	2167	53182
47	2211	53069
48	2256	52996
49	2301	52937
50	2346	52857
51	2388	52722
52	2432	52638
53	2472	52467
54	2516	52390
55	2565	52418
56	2610	52346
57	2656	52303
58	2705	52324
59	2746	52192
60	2792	52145
61	2840	52130
62	2883	52047
63	2925	51932
64	2965	51788
65	3010	51729
66	3051	51602
67	3104	51684
68	3147	51583
69	3193	51547
70	3235	51449
71	3280	51389
72	3320	51266
73	3370	51283
74	3416	51250
75	3458	51153
76	3502	51084
77	3545	50995
78	3596	51040
79	3643	51010
80	3691	50997
81	3739	50990
82	3782	50902
83	3823	50796
84	3876	50846
85	3918	50752
86	3960	50669
87	4003	50592
88	4044	50482
89	4096	50529
90	4152	50611
91	4198	50564
92	4247	50563
93	4298	50581
94	4345	50543
95	4388	50472
96	4432	50397
97	4471	50278
98	4508	50145
99	4558	50145
100	4606	50119
101	4659	50156
102	4703	50094
103	4750	50061
104	4793	49992
105	4843	49985
106	4889	49946
107	4933	49882
108	4980	49846
109	5024	49784
110	5070	49749
111	5127	49811
112	5173	49769
113	5224	49774
114	5269	49714
115	5311	49637
116	5368	49690
117	5414	49652
118	5469	49688
119	5513	49617
120	5554	49529
121	5597	49460
122	5642	49410
123	5685	49339
124	5732	49301
125	5778	49256
126	5823	49202
127	5869	49154
128	5916	49124
129	5958	49046
130	6009	49041
131	6055	48992
132	6100	48937
133	6154	48959
134	6197	48891
135	6245	48859
136	6288	48795
137	6332	48736
138	6376	48668
139	6418	48595
140	6462	48533
141	6507	48488
142	6553	48440
143	6592	48342
144	6640	48314
145	6683	48252
146	6724	48172
147	6770	48122
148	6810	48040
149	6852	47967
150	6897	47914
151	6942	47865
152	6987	47813
153	7026	47722
154	7073	47692
155	7117	47631
156	7159	47562
157	7207	47532
158	7254	47498
159	7311	47527
160	7354	47463
161	7408	47467
162	7450	47398
163	7495	47350
164	7556	47402
165	7606	47379
166	7660	47384
167	7709	47359
168	7754	47309
169	7800	47261
170	7851	47244
171	7920	47338
172	7971	47322
173	8015	47261
174	8062	47220
175	8110	47188
176	8181	47283
177	8230	47256
178	8274	47195
179	8321	47155
180	8373	47142
181	8416	47078
182	8460	47017
183	8509	46989
184	8558	46954
185	8603	46904
186	8649	46856
187	8693	46795
188	8735	46728
189	8784	46698
190	8832	46659
191	8878	46611
192	8925	46567
193	8969	46514
194	9012	46448
195	9062	46420
196	9112	46395
197	9166	46387
198	9210	46330
199	9264	46320
200	9312	46285
201	9357	46231
202	9400	46167
203	9449	46133
204	9498	46101
205	9543	46052
206	9591	46011
207	9639	45972
208	9684	45920
209	9727	45860
210	9772	45805
211	9813	45734
212	9856	45671
213	9901	45623
214	9946	45569
215	9987	45498
216	10032	45447
217	10077	45394
218	10121	45336
219	10172	45315
220	10219	45269
221	10265	45224
222	10311	45175
223	10355	45122
224	10398	45059
225	10447	45024
226	10491	44970
227	10542	44944
228	10590	44906
229	10634	44851
230	10683	44815
231	10727	44758
232	10774	44718
233	10821	44671
234	10863	44610
235	10906	44549
236	10959	44531
237	11001	44467
238	11046	44418
239	11089	44356
240	11132	44300
241	11177	44247
242	11226	44211
243	11269	44153
244	11318	44118
245	11361	44058
246	11404	44003
247	11449	43950
248	11493	43897
249	11535	43836
250	11580	43783
251	11622	43723
252	11666	43667
253	11717	43641
254	11761	43588
255	11803	43526
256	11847	43472
257	11890	43414
258	11942	43389
259	11980	43314
260	12030	43281
261	12081	43253
262	12126	43202
263	12170	43148
264	12215	43100
265	12278	43112
266	12321	43056
267	12362	42991
268	12407	42941
269	12449	42879
270	12495	42836
271	12543	42796
272	12587	42741
273	12629	42682
274	12671	42620
275	12716	42571
276	12759	42515
277	12824	42532
278	12866	42473
279	12903	42396
280	12948	42346
281	12994	42301
282	13038	42249
283	13081	42192
284	13126	42142
285	13169	42087
286	13211	42027
287	13256	41977
288	13300	41926
289	13343	41870
290	13389	41825
291	13433	41773
292	13478	41723
293	13520	41666
294	13564	41611
295	13609	41564
296	13654	41515
297	13707	41491
298	13750	41435
299	13798	41395
300	13847	41357
301	13908	41355
302	13964	41340
303	14021	41327
304	14068	41281
305	14117	41246
306	14165	41205
307	14215	41170
308	14264	41131
309	14311	41086
310	14355	41036
311	14407	41004
312	14454	40963
313	14502	40921
314	14549	40878
315	14598	40838
316	14647	40800
317	14686	40735
318	14731	40683
319	14773	40627
320	14818	40577
321	14866	40536
322	14907	40477
323	14950	40422
324	14993	40368
325	15036	40312
326	15082	40265
327	15127	40217
328	15171	40166
329	15234	40163
330	15279	40115
331	15326	40070
332	15374	40028
333	15420	39982
334	15462	39925
335	15504	39869
336	15548	39817
337	15593	39768
338	15640	39724
339	15691	39689
340	15735	39638
341	15778	39584
342	15821	39531
343	15866	39482
344	15910	39429
345	15962	39398
346	16009	39354
347	16055	39309
348	16104	39269
349	16151	39224
350	16196	39176
351	16237	39117
352	16280	39064
353	16322	39008
354	16362	38948
355	16402	38887
356	16449	38843
357	16502	38813
358	16547	38765
359	16594	38721
360	16639	38670
361	16683	38620
362	16736	38590
363	16783	38547
364	16825	38491
365	16869	38439
366	16911	38385
367	16954	38331
368	16998	38281
369	17043	38233
370	17086	38179
371	17126	38119
372	17172	38074
373	17220	38031
374	17271	37996
375	17317	37951
376	17363	37905
377	17405	37851
378	17449	37798
379	17507	37779
380	17554	37735
381	17596	37679
382	17637	37624
383	17681	37572
384	17728	37528
385	17771	37476
386	17816	37428
387	17861	37380
388	17910	37339
389	17966	37315
390	18011	37267
391	18068	37243
392	18115	37198
393	18157	37145
394	18204	37099
395	18247	37046
396	18297	37009
397	18343	36964
398	18388	36914
399	18429	36858
400	18475	36812
401	18519	36762
402	18571	36729
403	18617	36681
404	18663	36634
405	18709	36588
406	18755	36543
407	18797	36490
408	18843	36443
409	18883	36385
410	18937	36354
411	18980	36302
412	19024	36251
413	19066	36199
414	19125	36176
415	19167	36122
416	19211	36072
417	19258	36029
418	19316	36004
419	19359	35953
420	19403	35903
421	19448	35854
422	19490	35801
423	19534	35751
424	19582	35710
425	19644	35692
426	19689	35644
427	19738	35603
428	19781	35550
429	19824	35500
430	19866	35446
431	19923	35419
432	19964	35364
433	20011	35319
434	20053	35266
435	20098	35218
436	20148	35179
437	20193	35131
438	20238	35082
439	20279	35027
440	20322	34977
441	20365	34926
442	20415	34885
443	20458	34835
444	20505	34789
445	20545	34733
446	20589	34684
447	20626	34622
448	20665	34564
449	20708	34513
450	20753	34466
451	20797	34417
452	20842	34369
453	20887	34321
454	20933	34275
455	20978	34227
456	21025	34183
457	21068	34132
458	21115	34088
459	21165	34048
460	21215	34009
461	21259	33959
462	21302	33909
463	21349	33864
464	21394	33816
465	21440	33771
466	21486	33724
467	21526	33669
468	21570	33619
469	21613	33569
470	21661	33526
471	21706	33478
472	21750	33430
473	21792	33377
474	21832	33323
475	21879	33278
476	21921	33227
477	21968	33181
478	22014	33136
479	22058	33087
480	22102	33039
481	22143	32986
482	22189	32940
483	22235	32893
484	22286	32855
485	22330	32805
486	22374	32757
487	22419	32710
488	22464	32663
489	22517	32626
490	22562	32580
491	22605	32530
492	22650	32482
493	22697	32438
494	22744	32394
495	22794	32353
496	22839	32306
497	22885	32259
498	22932	32215
499	22979	32170
500	23038	32143
501	23077	32088
502	23128	32049
503	23172	32000
504	23221	31958
505	23265	31909
506	23321	31876
507	23364	31827
508	23410	31781
509	23453	31731
510	23500	31686
511	23547	31641
512	23597	31601
513	23644	31556
514	23689	31509
515	23732	31459
516	23778	31413
517	23824	31367
518	23870	31320
519	23908	31264
520	23949	31212
521	23993	31164
522	24036	31114
523	24091	31080
524	24136	31032
525	24175	30978
526	24233	30947
527	24281	30903
528	24326	30856
529	24383	30823
530	24428	30777
531	24471	30727
532	24519	30683
533	24564	30636
534	24609	30589
535	24654	30541
536	24698	30494
537	24746	30450
538	24792	30403
539	24835	30354
540	24878	30304
541	24923	30257
542	24967	30209
543	25016	30167
544	25057	30115
545	25103	30069
546	25154	30029
547	25201	29983
548	25244	29934
549	25288	29886
550	25334	29840
551	25380	29794
552	25433	29756
553	25480	29711
554	25524	29663
555	25569	29616
556	25612	29566
557	25663	29527
558	25708	29479
559	25756	29435
560	25799	29386
561	25843	29338
562	25887	29290
563	25935	29246
564	25981	29200
565	26024	29151
566	26069	29104
567	26112	29055
568	26156	29006
569	26202	28960
570	26245	28911
571	26294	28868
572	26337	28819
573	26378	28768
574	26431	28729
575	26482	28689
576	26526	28641
577	26571	28594
578	26615	28545
579	26662	28501
580	26710	28457
581	26756	28411
582	26803	28366
583	26852	28324
584	26894	28274
585	26939	28226
586	26999	28195
587	27046	28149
588	27090	28102
589	27136	28056
590	27180	28008
591	27224	27959
592	27278	27922
593	27320	27872
594	27366	27826
595	27409	27776
596	27453	27728
597	27499	27683
598	27542	27634
599	27591	27591
600	27637	27545
601	27680	27496
602	27723	27447
603	27765	27397
604	27810	27350
605	27856	27304
606	27899	27256
607	27942	27207
608	27983	27156
609	28029	27110
610	28077	27066
611	28122	27019
612	28166	26972
613	28208	26922
614	28252	26874
615	28298	26828
616	28343	26781
617	28390	26736
618	28435	26690
619	28479	26642
620	28525	26596
621	28573	26552
622	28620	26506
623	28667	26462
624	28714	26417
625	28759	26370
626	28807	26326
627	28849	26277
628	28892	26228
629	28933	26177
630	28980	26133
631	29026	26087
632	29077	26045
633	29130	26006
634	29174	25958
635	29218	25910
636	29264	25865
637	29310	25818
638	29356	25772
639	29401	25726
640	29449	25681
641	29494	25635
642	29536	25586
643	29601	25556
644	29645	25509
645	29692	25463
646	29738	25417
647	29786	25373
648	29833	25328
649	29881	25284
650	29925	25236
651	29972	25191
652	30017	25145
653	30059	25095
654	30107	25051
655	30153	25005
656	30198	24958
657	30244	24912
658	30289	24866
659	30334	24819
660	30381	24773
661	30427	24728
662	30470	24679
663	30514	24632
664	30556	24582
665	30600	24535
666	30644	24488
667	30694	24445
668	30763	24417
669	30819	24379
670	30881	24345
671	30935	24306
672	30982	24260
673	31053	24234
674	31110	24196
675	31159	24152
676	31213	24113
677	31273	24077
678	31352	24056
679	31401	24012
680	31445	23965
681	31492	23919
682	31545	23878
683	31598	23837
684	31646	23792
685	31691	23745
686	31740	23701
687	31800	23665
688	31845	23618
689	31886	23568
690	31928	23519
691	31979	23476
692	32026	23430
693	32071	23383
694	32121	23339
695	32164	23291
696	32209	23244
697	32254	23197
698	32301	23151
699	32341	23101
700	32389	23055
701	32434	23009
702	32479	22961
703	32529	22918
704	32572	22870
705	32617	22822
706	32662	22775
707	32708	22729
708	32750	22680
709	32803	22638
710	32848	22592
711	32893	22545
712	32940	22499
713	32991	22456
714	33040	22411
715	33100	22374
716	33146	22328
717	33195	22284
718	33240	22237
719	33288	22192
720	33335	22146
721	33384	22102
722	33429	22055
723	33475	22008
724	33520	21961
725	33568	21916
726	33613	21869
727	33657	21821
728	33698	21772
729	33741	21723
730	33788	21678
731	33835	21632
732	33882	21586
733	33925	21538
734	33970	21491
735	34015	21444
736	34062	21399
737	34109	21352
738	34157	21307
739	34208	21264
740	34257	21220
741	34303	21173
742	34353	21129
743	34403	21085
744	34450	21040
745	34499	20995
746	34546	20950
747	34597	20906
748	34641	20858
749	34685	20811
750	34730	20764
751	34776	20718
752	34819	20669
753	34870	20626
754	34913	20578
755	34956	20529
756	35003	20483
757	35054	20440
758	35095	20391
759	35144	20347
760	35194	20302
761	35241	20256
762	35285	20209
763	35329	20161
764	35375	20115
765	35418	20067
766	35460	20018
767	35505	19972
768	35549	19924
769	35593	19877
770	35642	19832
771	35686	19784
772	35729	19736
773	35773	19689
774	35819	19642
775	35862	19594
776	35911	19550
777	35957	19504
